symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,CHOCH,1.22228,1.21355,1.19488,0.820,2025-01-10 15:40,2025-01-13 13:00,1.21355,TRAILED_SL,100.69,1.84,NY_OPEN,SELL,True,,True,2,True,2.15
GBPUSD,SELL,CHOCH,1.21854,1.21818,1.19588,1.000,2025-01-14 13:35,2025-01-14 13:50,1.21818,TRAILED_SL,5.76,1.60,NY_OPEN,SELL,True,,True,0,True,2.83
GBPUSD,BUY,CHOCH,1.22096,1.22391,1.23208,0.920,2025-01-16 13:45,2025-01-16 19:50,1.22375,GIVEBACK_GUARD,37.85,1.70,NY_OPEN,NEUTRAL,True,,True,1,True,2.14
GBPUSD,SELL,LH_LL_CONTINUATION,1.21997,1.21958,1.21440,1.000,2025-01-20 13:30,2025-01-20 14:50,1.21970,GIVEBACK_GUARD,5.76,1.48,NY_OPEN,BUY,True,,True,0,True,2.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.21959,1.21923,1.21401,0.950,2025-01-20 15:05,2025-01-20 15:30,1.22898,GIVEBACK_GUARD,-33.24,-9.23,NY_OPEN,BUY,True,,True,0,True,2.22
GBPUSD,SELL,LH_LL_CONTINUATION,1.22780,1.22762,1.22696,0.750,2025-01-21 15:45,2025-01-21 15:55,1.22762,TRAILED_SL,2.89,1.60,NY_OPEN,NEUTRAL,True,,True,0,True,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.23436,1.23290,1.23856,1.000,2025-01-22 15:40,2025-01-22 16:30,1.23290,SL_HIT,-14.60,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.23198,1.23529,1.24483,0.920,2025-01-23 13:40,2025-01-23 22:50,1.23529,TRAILED_SL,44.07,1.72,NY_OPEN,BUY,True,,True,1,True,2.03
GBPUSD,BUY,CHOCH,1.25015,1.24010,1.27526,0.920,2025-01-27 13:40,2025-01-29 15:15,1.24010,SL_HIT,-100.45,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.24267,1.23058,1.22756,0.920,2025-01-30 14:00,2025-02-03 01:45,1.23058,TRAILED_SL,84.61,2.80,NY_OPEN,NEUTRAL,True,,True,2,True,4.70
GBPUSD,BUY,HH_HL_CONTINUATION,1.24498,1.24406,1.25095,1.000,2025-02-07 14:05,2025-02-07 15:30,1.24406,SL_HIT,-9.20,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.24365,1.24022,1.22648,0.850,2025-02-07 15:40,2025-02-10 01:15,1.23906,GIVEBACK_GUARD,59.58,1.73,NY_OPEN,NEUTRAL,True,,True,0,True,2.12
GBPUSD,SELL,CHOCH,1.23965,1.23915,1.22207,0.920,2025-02-10 14:00,2025-02-10 14:30,1.23884,GIVEBACK_GUARD,9.18,1.85,NY_OPEN,SELL,True,,True,0,True,2.91
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.23911,1.23713,1.24406,0.870,2025-02-10 14:30,2025-02-10 19:45,1.23713,SL_HIT,-19.78,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.24561,1.24102,1.25708,0.820,2025-02-12 14:30,2025-02-12 15:30,1.24102,SL_HIT,-45.87,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.26011,1.26479,1.24840,0.820,2025-02-18 13:30,2025-02-20 18:10,1.26479,SL_HIT,-46.85,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,SELL,LIQUIDITY_GRAB_CONTINUATION,1.26055,1.26016,1.25483,0.970,2025-02-28 15:20,2025-02-28 15:35,1.26016,TRAILED_SL,6.24,1.60,NY_OPEN,NEUTRAL,True,,True,0,True,0.00
GBPUSD,SELL,LIQUIDITY_GRAB_CONTINUATION,1.26023,1.26199,1.25583,0.870,2025-02-28 15:55,2025-02-28 17:35,1.26199,SL_HIT,-17.61,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
