symbol,direction,setup_type,kill_zone,exit_reason,hour_utc,day_of_week,week_of_month,month,is_monday,is_friday,is_gbpusd_sell,is_usdjpy_buy,is_eurusd,direction_aligned,outcome_binary,outcome_pips
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,4,2,11,0,1,0,0,1,1,1,35.70000000000073
EURUSD,SELL,CHOCH,NY_OPEN,SL_HIT,13,2,2,11,0,0,0,0,1,1,0,-37.85780000000072
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,2,2,11,0,0,0,0,1,1,1,22.199999999998887
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,2,2,11,0,0,0,0,1,1,1,48.299999999998896
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,4,3,11,0,1,0,0,1,1,1,15.699999999998491
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,4,3,11,0,1,0,0,1,1,1,34.000000000000696
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,17,4,4,11,0,1,0,0,1,1,1,7.299999999998974
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,1,4,11,0,0,0,0,1,1,1,38.19999999999934
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,1,4,11,0,0,0,0,1,1,1,21.200000000001214
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,2,4,11,0,0,0,0,1,1,0,-34.490999999998714
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,GIVEBACK_GUARD,9,0,1,12,1,0,0,0,1,1,1,9.799999999999809
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,1,1,12,0,0,0,0,1,1,1,19.400000000000528
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,2,1,12,0,0,0,0,1,1,1,28.365779999999678
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,16,4,1,12,0,1,0,0,1,1,0,-25.066900000001446
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,7,2,2,12,0,0,0,0,1,1,0,-4.499999999998394
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,2,2,12,0,0,0,0,1,1,1,31.62596000000084
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,2,12,0,0,0,0,1,1,1,18.42733999999924
EURUSD,SELL,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,0,3,12,1,0,0,0,1,1,1,61.30843999999991
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,8,4,3,12,0,1,0,0,1,1,0,-30.068899999999843
