symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,CHOCH,1.22228,1.21355,1.19488,0.820,2025-01-10 15:40,2025-01-13 13:00,1.21355,TRAILED_SL,100.69,1.84,NY_OPEN,SELL,True,,True,2,True,2.15
GBPUSD,BUY,CHOCH,1.21400,1.22148,1.23012,0.820,2025-01-13 16:15,2025-01-14 02:25,1.22148,TRAILED_SL,68.62,2.13,LONDON_CLOSE,SELL,True,,True,2,True,3.37
GBPUSD,SELL,CHOCH,1.21854,1.21818,1.19588,1.000,2025-01-14 13:35,2025-01-14 13:50,1.21818,TRAILED_SL,5.76,1.60,NY_OPEN,SELL,True,,True,0,True,2.83
GBPUSD,BUY,CHOCH,1.22096,1.22391,1.23208,0.920,2025-01-16 13:45,2025-01-16 19:50,1.22375,GIVEBACK_GUARD,37.85,1.70,NY_OPEN,NEUTRAL,True,,True,1,True,2.14
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.98600,155.57600,154.66761,0.950,2025-01-16 15:40,2025-01-16 19:05,155.44800,GIVEBACK_GUARD,53.16,2.02,NY_OPEN,NEUTRAL,True,,True,1,True,3.19
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.88000,155.32500,154.24582,1.000,2025-01-20 15:30,2025-01-21 02:50,156.11600,GIVEBACK_GUARD,27.82,0.90,NY_OPEN,SELL,True,,True,2,True,2.75
GBPUSD,BUY,CHOCH,1.22865,1.22950,1.24909,0.920,2025-01-21 16:10,2025-01-21 17:55,1.22993,GIVEBACK_GUARD,15.32,1.80,LONDON_CLOSE,NEUTRAL,True,,True,0,True,2.48
GBPUSD,BUY,CHOCH,1.23198,1.23529,1.24483,0.920,2025-01-23 13:40,2025-01-23 22:50,1.23529,TRAILED_SL,44.07,1.72,NY_OPEN,BUY,True,,True,1,True,2.03
GBPUSD,BUY,CHOCH,1.25015,1.24010,1.27526,0.920,2025-01-27 13:40,2025-01-29 15:15,1.24010,SL_HIT,-100.45,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.24267,1.23058,1.22756,0.920,2025-01-30 14:00,2025-02-03 01:45,1.23058,TRAILED_SL,84.61,2.80,NY_OPEN,NEUTRAL,True,,True,2,True,4.70
USDJPY,SELL,CHOCH,152.38400,151.44800,150.34453,0.920,2025-02-06 15:10,2025-02-06 22:20,151.44800,TRAILED_SL,86.39,2.12,NY_OPEN,SELL,True,,True,4,True,2.67
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,151.74400,152.56541,149.69047,0.990,2025-02-07 15:40,2025-02-11 17:20,152.56541,SL_HIT,-82.14,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.24365,1.24022,1.22648,0.850,2025-02-07 15:40,2025-02-10 01:15,1.23906,GIVEBACK_GUARD,59.58,1.73,NY_OPEN,NEUTRAL,True,,True,0,True,2.12
GBPUSD,SELL,CHOCH,1.23965,1.23915,1.22207,0.920,2025-02-10 14:00,2025-02-10 14:30,1.23884,GIVEBACK_GUARD,9.18,1.85,NY_OPEN,SELL,True,,True,0,True,2.91
GBPUSD,SELL,CHOCH,1.23881,1.23955,1.22414,0.920,2025-02-10 14:50,2025-02-10 15:15,1.23955,SL_HIT,-7.40,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.23937,1.23598,1.22613,0.820,2025-02-10 15:20,2025-02-11 10:50,1.23592,GIVEBACK_GUARD,45.57,1.72,NY_OPEN,SELL,True,,True,1,True,2.27
GBPUSD,BUY,CHOCH,1.24561,1.24102,1.25708,0.820,2025-02-12 14:30,2025-02-12 15:30,1.24102,SL_HIT,-45.87,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.26011,1.26479,1.24840,0.820,2025-02-18 13:30,2025-02-20 18:10,1.26479,SL_HIT,-46.85,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.26567,1.26392,1.27699,0.920,2025-02-21 16:25,2025-02-21 17:20,1.26392,SL_HIT,-17.50,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
