symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,CHOCH,1.22210,1.22370,1.19438,0.920,2025-01-10 16:05,2025-01-10 16:15,1.22370,SL_HIT,-16.00,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.21400,1.22148,1.23012,0.820,2025-01-13 16:15,2025-01-14 02:25,1.22148,TRAILED_SL,68.62,2.13,LONDON_CLOSE,SELL,True,,True,2,True,3.37
USDJPY,SELL,CHOCH,157.78000,157.30800,156.11686,0.820,2025-01-14 16:20,2025-01-15 10:50,157.15800,GIVEBACK_GUARD,64.80,1.95,LONDON_CLOSE,NEUTRAL,True,,True,1,True,2.96
AUDUSD,BUY,CHOCH,0.62151,0.61767,0.63110,0.820,2025-01-16 17:00,2025-01-17 15:50,0.61767,SL_HIT,-38.38,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
AUDUSD,BUY,CHOCH,0.62180,0.62011,0.63990,0.920,2025-01-17 17:00,2025-01-17 20:05,0.62011,SL_HIT,-16.90,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,155.63000,154.17300,152.74514,0.920,2025-01-20 16:20,2025-01-27 14:10,154.17300,TRAILED_SL,127.52,2.21,LONDON_CLOSE,SELL,True,,True,1,True,3.11
GBPUSD,BUY,CHOCH,1.22865,1.22950,1.24909,0.920,2025-01-21 16:10,2025-01-21 17:55,1.22993,GIVEBACK_GUARD,15.32,1.80,LONDON_CLOSE,NEUTRAL,True,,True,0,True,2.48
AUDUSD,BUY,CHOCH,0.62488,0.62672,0.63736,0.920,2025-01-21 16:20,2025-01-21 21:15,0.62672,TRAILED_SL,13.72,2.59,LONDON_CLOSE,NEUTRAL,True,,True,2,True,4.72
GBPUSD,BUY,CHOCH,1.24346,1.24481,1.25436,1.000,2025-01-28 17:00,2025-01-29 09:30,1.24496,GIVEBACK_GUARD,15.12,1.99,LONDON_CLOSE,BUY,True,,True,2,True,3.54
GBPUSD,BUY,CHOCH,1.24694,1.23996,1.26440,0.820,2025-01-30 16:10,2025-01-31 16:10,1.23996,SL_HIT,-69.85,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,151.81500,151.59000,149.55793,1.000,2025-02-07 16:25,2025-02-07 17:00,151.59000,TRAILED_SL,18.54,2.33,LONDON_CLOSE,SELL,True,,True,1,True,6.35
AUDUSD,BUY,CHOCH,0.62858,0.63528,0.63948,0.820,2025-02-13 17:00,2025-02-14 17:30,0.63528,TRAILED_SL,52.97,2.43,LONDON_CLOSE,NEUTRAL,True,,True,9,True,3.67
GBPUSD,BUY,CHOCH,1.26040,1.26616,1.27207,0.920,2025-02-18 16:15,2025-02-21 00:00,1.26616,TRAILED_SL,51.04,2.19,LONDON_CLOSE,BUY,True,,True,4,True,2.85
GBPUSD,BUY,CHOCH,1.26567,1.26392,1.27699,0.920,2025-02-21 16:25,2025-02-21 17:20,1.26392,SL_HIT,-17.50,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,149.47100,150.17275,147.71664,0.920,2025-02-24 16:35,2025-02-25 02:50,150.17275,SL_HIT,-70.17,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,149.61000,149.56500,148.69424,1.000,2025-02-26 16:20,2025-02-26 16:35,149.46300,GIVEBACK_GUARD,11.28,2.51,LONDON_CLOSE,SELL,True,,True,0,True,6.04
