symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,LH_LL_CONTINUATION,1.22861,1.22839,1.21218,0.750,2025-01-09 12:10,2025-01-09 12:40,1.22839,TRAILED_SL,2.20,0.05,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,158.00300,158.00570,158.21200,0.950,2025-01-09 12:30,2025-01-09 12:50,157.99000,GIVEBACK_GUARD,2.05,7.59,NY_OPEN,BUY,True,,True,0,True,20.37
GBPUSD,SELL,LH_LL_CONTINUATION,1.22849,1.22921,1.21206,0.750,2025-01-09 12:50,2025-01-09 13:35,1.22921,SL_HIT,-7.20,-0.16,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,157.84400,157.75800,158.03700,1.000,2025-01-09 13:50,2025-01-09 14:10,157.75800,SL_HIT,-8.60,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,157.74300,157.70795,157.87500,0.850,2025-01-09 14:45,2025-01-09 14:50,157.70795,SL_HIT,-3.50,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,158.40800,158.36500,158.48600,0.950,2025-01-10 07:25,2025-01-10 08:10,158.36500,SL_HIT,-4.30,-0.88,LONDON_OPEN,BUY,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.22883,1.22881,1.22463,0.850,2025-01-10 09:40,2025-01-10 10:10,1.22881,TRAILED_SL,2.41,10.50,LONDON_OPEN,SELL,True,,True,0,True,0.00
USDJPY,BUY,HH_HL_CONTINUATION,158.44000,158.37500,158.60650,0.950,2025-01-10 09:45,2025-01-10 10:20,158.37500,SL_HIT,-6.50,-1.00,LONDON_OPEN,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,157.91400,158.17900,155.78425,0.820,2025-01-10 12:00,2025-01-10 15:30,158.17900,SL_HIT,-26.50,-0.31,NY_OPEN,BUY,True,,False,1,False,0.00
GBPUSD,SELL,CHOCH,1.22228,1.22527,1.19488,0.820,2025-01-10 15:40,2025-01-10 16:45,1.22527,SL_HIT,-29.90,-0.27,LONDON_CLOSE,SELL,True,,False,1,False,0.00
USDJPY,BUY,FVG_CONTINUATION,158.22600,157.75100,159.54358,0.880,2025-01-10 16:25,2025-01-10 17:05,157.75100,SL_HIT,-47.50,-0.90,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,157.43400,157.46100,158.59461,0.950,2025-01-13 08:05,2025-01-13 09:05,157.46100,TRAILED_SL,2.70,0.12,LONDON_OPEN,SELL,True,,True,1,False,0.00
