symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
USDJPY,BUY,HH_HL_CONTINUATION,158.00300,158.00570,158.21200,0.950,2025-01-09 12:30,2025-01-09 12:50,157.99000,GIVEBACK_GUARD,2.72,10.07,NY_OPEN,BUY,True,,True,0,True,20.37
USDJPY,BUY,HH_HL_CONTINUATION,157.84400,157.75800,158.03700,1.000,2025-01-09 13:50,2025-01-09 14:10,157.75800,SL_HIT,-8.60,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,157.74300,157.70795,157.87500,0.850,2025-01-09 14:45,2025-01-09 14:50,157.70795,SL_HIT,-3.50,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,157.91400,158.76590,155.78425,0.820,2025-01-10 12:00,2025-01-10 15:30,158.76590,SL_HIT,-85.19,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,SELL,CHOCH,1.22228,1.22537,1.19488,0.820,2025-01-10 15:40,2025-01-10 16:45,1.22537,SL_HIT,-30.90,-0.28,LONDON_CLOSE,SELL,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,157.81900,157.83109,158.87650,0.850,2025-01-10 16:40,2025-01-10 17:05,157.72700,GIVEBACK_GUARD,10.83,8.96,LONDON_CLOSE,NEUTRAL,True,,True,0,True,16.38
USDJPY,BUY,LIQUIDITY_GRAB_CONTINUATION,157.37000,157.23700,158.08311,0.970,2025-01-13 12:40,2025-01-13 13:15,157.23700,SL_HIT,-13.30,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.21400,1.21401,1.23012,0.820,2025-01-13 16:15,2025-01-13 17:30,1.21401,TRAILED_SL,1.24,0.02,LONDON_CLOSE,SELL,True,,True,1,True,0.00
GBPUSD,SELL,CHOCH,1.21871,1.21712,1.19791,0.920,2025-01-14 12:45,2025-01-14 15:30,1.21712,TRAILED_SL,8.04,0.10,NY_OPEN,SELL,True,,True,3,False,0.00
AUDUSD,SELL,CHOCH,0.61832,0.61789,0.60929,0.920,2025-01-14 13:00,2025-01-14 15:30,0.61789,TRAILED_SL,3.76,0.10,NY_OPEN,SELL,True,,True,3,True,0.00
AUDUSD,BUY,CHOCH,0.61795,0.61801,0.62341,0.920,2025-01-14 15:30,2025-01-14 18:45,0.61801,TRAILED_SL,0.60,0.04,LONDON_CLOSE,SELL,True,,True,2,False,0.00
USDJPY,SELL,CHOCH,157.78000,158.17600,156.11686,0.820,2025-01-14 16:20,2025-01-14 19:45,158.17600,SL_HIT,-39.60,-0.60,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.62034,0.61992,0.62367,0.850,2025-01-15 12:30,2025-01-15 14:25,0.61992,SL_HIT,-4.20,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.22096,1.21848,1.23208,0.920,2025-01-16 13:45,2025-01-16 16:40,1.21848,SL_HIT,-24.80,-0.56,NY_OPEN,NEUTRAL,True,,False,2,False,0.00
AUDUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,0.62033,0.62035,0.62473,0.850,2025-01-16 15:30,2025-01-16 17:00,0.62035,TRAILED_SL,1.86,0.11,LONDON_CLOSE,BUY,True,,True,2,True,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.98600,155.34100,154.66761,0.950,2025-01-16 15:40,2025-01-16 20:30,155.34100,TRAILED_SL,39.78,0.75,LONDON_CLOSE,NEUTRAL,True,,True,4,True,0.00
