symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,BUY,CHOCH,1.36082,1.36476,1.37309,0.820,2026-02-09 12:05,2026-02-09 15:35,1.36476,TRAILED_SL,25.90,0.53,NY_OPEN,NEUTRAL,True,,True,3,True,0.00
AUDUSD,SELL,CHOCH,0.70159,0.70597,0.69064,0.820,2026-02-09 12:30,2026-02-09 15:25,0.70597,SL_HIT,-43.79,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,155.16900,155.17305,155.56050,0.750,2026-02-10 12:00,2026-02-10 12:35,155.17305,TRAILED_SL,5.02,0.26,NY_OPEN,SELL,True,,True,1,True,0.00
AUDUSD,BUY,CHOCH,0.70753,0.70699,0.71396,0.820,2026-02-10 12:30,2026-02-10 14:40,0.70699,SL_HIT,-5.40,-0.21,NY_OPEN,BUY,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,155.05700,155.06113,155.44850,0.750,2026-02-10 12:40,2026-02-10 14:00,155.20400,GIVEBACK_GUARD,10.83,26.24,NY_OPEN,SELL,True,,True,0,True,55.71
GBPUSD,BUY,CHOCH,1.36803,1.36808,1.38056,0.920,2026-02-10 14:20,2026-02-10 15:05,1.36808,TRAILED_SL,6.51,0.13,NY_OPEN,BUY,True,,True,1,True,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.36796,1.36790,1.36055,0.950,2026-02-10 15:05,2026-02-10 15:30,1.36790,TRAILED_SL,7.01,12.40,LONDON_CLOSE,BUY,True,,True,0,True,0.00
AUDUSD,SELL,LIQUIDITY_GRAB_CONTINUATION,0.70774,0.70867,0.70264,0.870,2026-02-10 16:30,2026-02-10 17:50,0.70867,SL_HIT,-9.30,-0.46,LONDON_CLOSE,BUY,True,,False,1,False,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.36812,1.36805,1.35902,0.950,2026-02-10 16:35,2026-02-10 17:45,1.36694,GIVEBACK_GUARD,13.42,18.51,LONDON_CLOSE,BUY,True,,True,0,True,33.24
GBPUSD,SELL,CHOCH,1.36833,1.36535,1.35420,0.820,2026-02-11 15:15,2026-02-11 19:00,1.36535,TRAILED_SL,17.50,0.31,LONDON_CLOSE,BUY,True,,True,4,True,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,153.02200,153.53700,150.02339,0.950,2026-02-11 15:35,2026-02-11 17:35,153.53700,SL_HIT,-51.50,-0.34,LONDON_CLOSE,SELL,True,,False,1,False,0.00
AUDUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,0.71143,0.71153,0.71656,0.850,2026-02-11 15:45,2026-02-11 16:20,0.71153,TRAILED_SL,12.71,12.40,LONDON_CLOSE,BUY,True,,True,0,True,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.36433,1.36371,1.36831,0.950,2026-02-12 12:30,2026-02-12 12:50,1.36371,SL_HIT,-6.20,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.36389,1.36394,1.36830,1.000,2026-02-12 13:05,2026-02-12 14:15,1.36438,GIVEBACK_GUARD,8.50,15.60,NY_OPEN,NEUTRAL,True,,True,0,True,19.45
GBPUSD,SELL,CHOCH,1.36123,1.36118,1.35012,1.000,2026-02-13 13:05,2026-02-13 14:15,1.36053,GIVEBACK_GUARD,8.80,17.60,NY_OPEN,SELL,True,,True,0,True,21.80
USDJPY,SELL,CHOCH,153.25200,153.05800,151.45118,0.920,2026-02-13 13:40,2026-02-13 16:55,153.05800,TRAILED_SL,19.40,0.27,NY_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,SELL,CHOCH,1.36046,1.36414,1.34732,0.920,2026-02-13 14:15,2026-02-13 17:10,1.36414,SL_HIT,-36.80,-0.70,NY_OPEN,SELL,True,,False,2,False,0.00
AUDUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,0.70738,0.70731,0.69978,1.000,2026-02-13 16:30,2026-02-13 17:05,0.70659,GIVEBACK_GUARD,11.44,16.58,LONDON_CLOSE,NEUTRAL,True,,True,0,True,34.20
AUDUSD,SELL,CHOCH,0.70834,0.70832,0.70142,0.820,2026-02-16 12:00,2026-02-16 13:35,0.70832,TRAILED_SL,2.73,0.10,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
USDJPY,BUY,HH_HL_CONTINUATION,153.36200,153.36505,153.59350,0.900,2026-02-16 14:00,2026-02-16 15:30,153.36505,TRAILED_SL,3.78,0.50,NY_OPEN,SELL,True,,True,1,True,0.00
